Breed_ID,Breed,AltBreedName,LapCat_ID,Fur_ID,MaleWtKg,AvgKittenPrice
1,Abyssinian,,1,4,4,1050
2,American Curl,,1,3,4,1400
3,American Shorthair,,1,4,6,900
4,Applehead Siamese,,1,4,6,1600
5,Balinese,,2,2,4,1300
6,Bengal,,2,3,6,1250
7,Birman,,1,2,5,850
8,Bombay,,1,4,4,500
9,British Shorthair,,1,4,7,1750
10,Burmese,,1,4,5,1250
11,Burmilla,,1,2,5,600
12,Canadian Hairless,,1,1,5,1450
13,Chartreux,,1,4,6,1250
14,Chausie,,2,4,5,1500
15,Chinchilla,,3,4,1,200
16,Cymric,,1,2,5,400
17,Devon Rex,,1,4,3,800
18,Dilute Calico,,4,4,6,100
19,Dilute Tortoiseshell,,4,4,6,100
20,Domestic Medium Hair,,4,3,6,100
21,Domestic Short Hair,,4,4,6,100
22,Egyptian Mau,,1,3,5,800
23,Exotic Shorthair,,1,4,5,1750
24,Havana,,1,3,4,900
25,Himalayan,,1,2,6,800
26,Japanese Bobtail,,1,2,4,800
27,Javanese,,2,3,4,1200
28,LaPerm,,1,2,4,500
29,Maine Coon,,1,2,7,1600
30,Manx,,1,4,5,500
31,Munchkin,,1,3,3,1500
32,Norwegian Forest Cat,,2,2,6,1000
33,Ocicat,,2,4,6,850
34,Oriental Long Hair,,1,2,4,1150
35,Oriental Short Hair,,1,4,4,1150
36,Persian,,1,2,6,1250
37,Pixie-Bob,,1,3,6,700
38,Ragamuffin,,1,3,7,1000
39,Ragdoll,,1,2,7,1000
40,Scottish Fold,,2,4,4,1250
41,Selkirk Rex,,1,2,6,1150
42,Siamese,,1,4,6,500
43,Siberian,,2,2,6,1000
44,Singapura,,1,4,3,1150
45,Snowshoe,,1,4,5,800
46,Somali,,2,2,5,1250
47,Sphynx,hairless cat,1,1,5,1450
48,Tiger,,1,4,6,900
49,Tonkinese,,1,3,5,800
50,Torbie,,4,4,6,100
51,Tortoiseshell,,4,4,6,100
52,Turkish Van,,2,2,6,500
53,Tuxedo,,4,4,6,100
